NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Adaspur_Kantapada_DPP (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,0026,0030;0130;0730;1330;1830
Adaspur_Kantapada_DPP (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),S,ANY,ANY,ANY,Surface,Bhubaneshwar_E,0014,0030;0330;0830;1230;1500;2030;2330
Addanki_AbhyudayaNagar_D (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),E,ANY,ANY,ANY,Express,Hyderabad_S,0006,0030;0130;0730;1330;1830
Addanki_AbhyudayaNagar_D (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Ongole_S,0025,0030;0330;0830;1230;1500;2030;2330
Addanki_Inkollu_D (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),E,ANY,ANY,ANY,Express,Hyderabad_S,0006,0030;0130;0730;1330;1830
Addanki_Inkollu_D (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Ongole_S,0025,0030;0330;0830;1230;1500;2030;2330
Addanki_Kopperapadu1_D (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),E,ANY,ANY,ANY,Express,Hyderabad_S,0006,0030;0130;0730;1330;1830
Addanki_Kopperapadu1_D (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Ongole_S,0025,0030;0330;0830;1230;1500;2030;2330
Addanki_Kopperapadu_D (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),E,ANY,ANY,ANY,Express,Hyderabad_S,0006,0030;0130;0730;1330;1830
Addanki_Kopperapadu_D (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Ongole_S,0025,0030;0330;0830;1230;1500;2030;2330
Addateegala_Mamidipalem_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),E,ANY,ANY,ANY,Express,Hyderabad_S,0047,0030;0130;0730;1330;1830
Addateegala_Mamidipalem_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0009,0030;0500
Adilabad_KailashNagar_D (Telangana),Nagpur_Khapari_GW (Maharashtra),E,ANY,ANY,ANY,Express,Nagpur_W,0041,0030;0130;0730;1330;1830
Adilabad_KailashNagar_D (Telangana),Nagpur_Khapari_GW (Maharashtra),S,ANY,ANY,ANY,Surface,Nagpur_W,0029,0030;0330;0830;1230;1500;2030;2330
Adilabad_Nirala_DPP (Telangana),Nagpur_Khapari_GW (Maharashtra),E,ANY,ANY,ANY,Express,Nagpur_W,0041,0030;0130;0730;1330;1830
Adilabad_Nirala_DPP (Telangana),Nagpur_Khapari_GW (Maharashtra),S,ANY,ANY,ANY,Surface,Nagpur_W,0029,0030;0330;0830;1230;1500;2030;2330
Adimali_AdimaliMkt_D (Kerala),Cochin_Kalamassery_H (Kerala),E,ANY,ANY,ANY,Express,Aluva_S,0017,0030;0130;0730;1330;1830
Adimali_AdimaliMkt_D (Kerala),Cochin_Kalamassery_H (Kerala),S,ANY,ANY,ANY,Surface,Aluva_S,0005,0430
Adoni_RamanjaneyaNagar_D (Andhra Pradesh),Raichur_Wadloor_I (Karnataka),E,ANY,ANY,ANY,Express,Hyderabad_S,0002,0030;0130;0730;1330;1830
Adoni_RamanjaneyaNagar_D (Andhra Pradesh),Raichur_Wadloor_I (Karnataka),S,ANY,ANY,ANY,Surface,Hyderabad_S,0014,0030;0330;0830;1230;1500;2030;2330
Adoni_ThirumalaNagar1_D (Andhra Pradesh),Raichur_Wadloor_I (Karnataka),E,ANY,ANY,ANY,Express,Hyderabad_S,0002,0030;0130;0730;1330;1830
Adoni_ThirumalaNagar1_D (Andhra Pradesh),Raichur_Wadloor_I (Karnataka),S,ANY,ANY,ANY,Surface,Hyderabad_S,0014,0030;0330;0830;1230;1500;2030;2330
Adoor_CananNagar1_D (Kerala),Madurai_Avaniyapuram_H (Tamil Nadu),E,ANY,ANY,ANY,Express,Madurai_S,0023,0030;0130;0730;1330;1830
