NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Kadpadi_GoldenNager_D (Tamil Nadu),Vellore_Avrmpalyam_I (Tamil Nadu),S,ANY,ANY,ANY,Surface,Vellore_S,0020,430
Kahalgaon_Budhuchak_D (Bihar),Lakhisarai_Central_I_2 (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0021,0330;0900;1700;2330
Kahalgaon_Pirpainti_D (Bihar),Lakhisarai_Central_I_2 (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0022,0330;0900;1700;2330
Kakinada_CinemaRd_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0023,0500;2230
Kakinada_Kovvada_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0024,0500;2230
Kakinada_Rayudupalem1_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0025,0500;2230
Kalapathar_Bamborahi_D (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,0026,0030;0430;2030;2230
Kaluvaya_Kulluru_DPP (Andhra Pradesh),Cuddapah_Aravindnagar_I (Andhra Pradesh),E,ANY,ANY,ANY,Express,Hyderabad_S,0027,0030;0430;2030;2230
Kamarpukur_ChatiDPP_D (West Bengal),Bardhaman_Ulhas_I (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,0028,0030;0430;2030;2230
Kanpur_Rania1_D (Uttar Pradesh),Kanpur_Rania1_D (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Kanpur_N,0029,0500;2230
Karera_DenidaRd_D (Madhya Pradesh),Jhansi_Nandanpura_I (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Gwalior_W,0030,0500;2230
Karwar_Chendiya_D (Karnataka),Goa_Hub (Goa),S,ANY,ANY,ANY,Surface,Goa_W,0031,0030;0330;0830;1230;1500;2030;2330
